fbus,tbus,r,x,b,rateA,rateB,rateC,ratio,angle,status,angmin,angmax
1074,802,0.00018,0.000781,0,3000,0,0,0,0,1,-360,360
652,1103,0.002961,0.01669,0,319,0,0,0,0,1,-360,360
856,592,0.00056,0.00432,0,3000,0,0,0,0,1,-360,360
977,880,0.0002,0.00246,0,657,0,0,0,0,1,-360,360
977,1007,0.0003,0.00377,0,1315,0,0,0,0,1,-360,360
747,1330,0.00014,0.00057,0,3000,0,0,0,0,1,-360,360
432,1330,0.00013,0.000729,0,3000,0,0,0,0,1,-360,360
205,1330,0.00012,0.000581,0,3000,0,0,0,0,1,-360,360
270,1330,0.00011,0.00064,0,3000,0,0,0,0,1,-360,360
1206,1330,0.00019,0.00056,0,3000,0,0,0,0,1,-360,360
902,1271,0.00062,0.004909,0,529,0,0,0,0,1,-360,360
1349,1140,7.00E-05,0.00076,0,887,0,0,0,0,1,-360,360
1349,1310,0.00066,0.00622,0,1611,0,0,0,0,1,-360,360
1349,313,0.00054,0.00752,0,3000,0,0,0,0,1,-360,360
1349,7,0.00105,0.00877,0,1315,0,0,0,0,1,-360,360
16,1297,8.00E-05,0.00091,0,657,0,0,0,0,1,-360,360
16,691,0.00056,0.00719,0,953,0,0,0,0,1,-360,360
356,819,0.000531,0.002039,0,319,0,0,0,0,1,-360,360
356,720,0.008659,0.03769,0,300,0,0,0,0,1,-360,360
356,1304,0.003849,0.021099,0,3000,0,0,0,0,1,-360,360
356,1235,0.00688,0.035969,0,300,0,0,0,0,1,-360,360
356,1000,0.006729,0.03713,0,3000,0,0,0,0,1,-360,360
356,505,0.00111,0.006651,0,414,0,0,0,0,1,-360,360
356,82,0.0023,0.008909,0,3000,0,0,0,0,1,-360,360
356,382,0.000841,0.00313,0,3000,0,0,0,0,1,-360,360
356,785,0.003521,0.017479,0,300,0,0,0,0,1,-360,360
455,90,3.90E-05,0.00025,0,510,0,0,0,0,1,-360,360
452,340,0.000159,0.000729,0,357,0,0,0,0,1,-360,360
1248,1088,0.005281,0.032099,0,395,0,0,0,0,1,-360,360
1248,1088,0.005651,0.029419,0,376,0,0,0,0,1,-360,360
121,550,0.000271,0.00036,0,3000,0,0,0,0,1,-360,360
1264,1027,0.00044,0.00143,0,472,0,0,0,0,1,-360,360
1264,591,0.000159,0.00074,0,453,0,0,0,0,1,-360,360
330,288,0.00019,0.000591,0,338,0,0,0,0,1,-360,360
758,431,0.00019,0.00087,0,3000,0,0,0,0,1,-360,360
956,732,0.002591,0.013659,0,319,0,0,0,0,1,-360,360
956,1066,0.00305,0.01168,0,3000,0,0,0,0,1,-360,360
51,156,0.000159,0.000599,0,433,0,0,0,0,1,-360,360
51,156,0.000159,0.00062,0,395,0,0,0,0,1,-360,360
488,732,0.00101,0.004229,0,472,0,0,0,0,1,-360,360
488,647,0.00319,0.018651,0,453,0,0,0,0,1,-360,360
488,1066,0.000729,0.00337,0,3000,0,0,0,0,1,-360,360
162,170,0.002961,0.012831,0,281,0,0,0,0,1,-360,360
162,1158,0.000591,0.00339,0,3000,0,0,0,0,1,-360,360
1296,353,0.00024,0.001219,0,3000,0,0,0,0,1,-360,360
883,441,0.006219,0.036341,0,376,0,0,0,0,1,-360,360
883,879,0.001841,0.01193,0,472,0,0,0,0,1,-360,360
491,1058,0.001409,0.01113,0,414,0,0,0,0,1,-360,360
491,37,0.00151,0.00768,0,376,0,0,0,0,1,-360,360
491,456,0.00599,0.03313,0,395,0,0,0,0,1,-360,360
491,502,0.001771,0.010151,0,357,0,0,0,0,1,-360,360
701,734,0.00074,0.00311,0,3000,0,0,0,0,1,-360,360
701,734,0.000729,0.003159,0,3000,0,0,0,0,1,-360,360
480,1136,0.005271,0.01906,0,281,0,0,0,0,1,-360,360
480,803,0.00906,0.053151,0,319,0,0,0,0,1,-360,360
480,272,0.00405,0.0153,0,3000,0,0,0,0,1,-360,360
984,795,0.00055,0.003961,0,395,0,0,0,0,1,-360,360
984,795,0.00055,0.003729,0,338,0,0,0,0,1,-360,360
984,236,0.00107,0.007789,0,414,0,0,0,0,1,-360,360
984,236,0.00112,0.00775,0,472,0,0,0,0,1,-360,360
984,236,0.001031,0.00775,0,3000,0,0,0,0,1,-360,360
984,359,0.00062,0.003219,0,3000,0,0,0,0,1,-360,360
984,130,0.00068,0.002659,0,414,0,0,0,0,1,-360,360
1336,61,0.00193,0.012479,0,491,0,0,0,0,1,-360,360
1336,446,0.001159,0.007229,0,3000,0,0,0,0,1,-360,360
1336,437,0.00137,0.008729,0,395,0,0,0,0,1,-360,360
1336,437,0.001401,0.00855,0,433,0,0,0,0,1,-360,360
1336,437,0.001331,0.008521,0,433,0,0,0,0,1,-360,360
1031,324,0.00031,0.00081,0,281,0,0,0,0,1,-360,360
1031,1174,0.000341,0.00119,0,281,0,0,0,0,1,-360,360
1031,671,0.00031,0.001281,0,376,0,0,0,0,1,-360,360
1031,643,0.00094,0.0035,0,433,0,0,0,0,1,-360,360
